x_pos,transverse_force,deflection
0.0,-2.499370806929654,0.0
0.020202020202020204,-2.5508692842625678,-0.06832328132439876
0.04040404040404041,-2.604542417397548,-0.13658055389826074
0.06060606060606061,-2.6605221190297823,-0.2047061299361531
0.08080808080808081,-2.7189602935973145,-0.2726347556660138
0.10101010101010102,-2.780022479368141,-0.3403016206658974
0.12121212121212122,-2.843889412632029,-0.4076423676114308
0.14141414141414144,-2.9107588122242865,-0.4745931024615999
0.16161616161616163,-2.9808474214490515,-0.5410904051131217
0.18181818181818182,-3.0543933517713597,-0.6070713405565045
0.20202020202020204,-3.131658781614658,-0.6724734705700937
0.22222222222222224,-3.21293307468423,-0.737234865991988
0.24242424242424243,-3.2985363960548293,-0.8012941196137572
0.26262626262626265,-3.3888239217477163,-0.8645903597444621
0.2828282828282829,-3.4841907602394433,-0.927063264498652
0.30303030303030304,-3.5850777352981296,-0.9886530768679147
0.32323232323232326,-3.6919782250912188,-1.0493006206422728
0.3434343434343435,-3.80544632683026,-1.108947317255419
0.36363636363636365,-3.926106750977633,-1.167535203636661
0.38383838383838387,-4.054667113012737,-1.225006951162692
0.4040404040404041,-4.191933826122321,-1.2813058858142798
0.42424242424242425,-4.338833880467849,-1.3363760096570882
0.4444444444444445,-4.496446916503242,-1.3901620237828
0.4646464646464647,-4.6660559559425066,-1.4426093528677126
0.48484848484848486,-4.849232055778179,-1.4936641715330115
0.5050505050505051,-5.047979215242898,-1.543273432727753
0.5252525252525253,-5.264981726629953,-1.5913848984087433
0.5454545454545455,-5.504015405172708,-1.637947172872346
0.5656565656565657,-5.770600911957872,-1.6829097392203847
0.5858585858585859,-6.072978481660454,-1.726222999644286
0.6060606060606061,-6.423446148574136,-1.7678383205286243
0.6262626262626263,-6.839997599314609,-1.8077080838573627
0.6464646464646465,-7.347991916117032,-1.845785747104816
0.6666666666666667,-7.981277292765511,-1.88202591474146
0.686868686868687,-8.781815139251977,-1.91638442566214
0.7070707070707072,-9.796527968041419,-1.948818462129946
0.7272727272727273,-11.07002765658116,-1.9792866869484855
0.7474747474747475,-12.632322727501437,-2.0077494160631386
0.7676767676767677,-14.481758150995834,-2.034168833000871
0.787878787878788,-16.565315900872093,-2.0585092487482823
0.8080808080808082,-18.760663517060937,-2.080737405197285
0.8282828282828284,-20.86625105186723,-2.100822811898134
0.8484848484848485,-22.606334537382907,-2.118738094990558
0.8686868686868687,-23.656156647363034,-2.134459325215012
0.888888888888889,-23.688360954993335,-2.147966281183507
0.9090909090909092,-22.435867899336188,-2.1592425976331793
0.9292929292929294,-19.761167862529064,-2.1682757492688767
0.9494949494949496,-15.721997954079237,-2.1750568313755236
0.9696969696969697,-10.64973411339325,-2.179580119935883
0.98989898989899,-5.994819707632376,-2.1818424352518795
1.0101010101010102,-5.994819707632411,-2.1818424352518795
1.0303030303030305,-10.64973411339331,-2.1795801199358826
1.0505050505050506,-15.721997954079256,-2.175056831375523
1.0707070707070707,-19.7611678625291,-2.1682757492688767
1.090909090909091,-22.43586789933621,-2.1592425976331784
1.1111111111111112,-23.688360954993357,-2.147966281183506
1.1313131313131315,-23.656156647363034,-2.1344593252150115
1.1515151515151516,-22.60633453738287,-2.118738094990558
1.1717171717171717,-20.86625105186725,-2.1008228118981336
1.191919191919192,-18.760663517060937,-2.0807374051972847
1.2121212121212122,-16.565315900872047,-2.058509248748282
1.2323232323232325,-14.481758150995802,-2.0341688330008707
1.2525252525252526,-12.632322727501446,-2.007749416063138
1.272727272727273,-11.070027656581143,-1.9792866869484849
1.292929292929293,-9.796527968041397,-1.9488184621299451
1.3131313131313131,-8.781815139252007,-1.9163844256621392
1.3333333333333335,-7.981277292765495,-1.882025914741459
1.3535353535353536,-7.347991916116995,-1.8457857471048151
1.373737373737374,-6.8399975993146125,-1.807708083857361
1.393939393939394,-6.423446148574152,-1.7678383205286226
1.4141414141414144,-6.072978481660414,-1.7262229996442842
1.4343434343434345,-5.7706009119578425,-1.6829097392203827
1.4545454545454546,-5.504015405172713,-1.6379471728723445
1.474747474747475,-5.2649817266299594,-1.5913848984087418
1.494949494949495,-5.047979215242887,-1.5432734327277515
1.5151515151515154,-4.849232055778173,-1.49366417153301
1.5353535353535355,-4.666055955942522,-1.442609352867711
1.5555555555555556,-4.496446916503253,-1.3901620237827985
1.575757575757576,-4.338833880467851,-1.3363760096570867
1.595959595959596,-4.191933826122349,-1.2813058858142785
1.6161616161616164,-4.054667113012733,-1.2250069511626895
1.6363636363636365,-3.926106750977618,-1.1675352036366586
1.6565656565656568,-3.8054463268302507,-1.1089473172554163
1.676767676767677,-3.6919782250912103,-1.0493006206422706
1.696969696969697,-3.585077735298148,-0.9886530768679131
1.7171717171717173,-3.484190760239421,-0.9270632644986501
1.7373737373737375,-3.3888239217477083,-0.8645903597444606
1.7575757575757578,-3.2985363960548275,-0.8012941196137557
1.777777777777778,-3.212933074684195,-0.7372348659919865
1.7979797979797982,-3.131658781614658,-0.6724734705700923
1.8181818181818183,-3.0543933517713713,-0.6070713405565034
1.8383838383838385,-2.980847421449073,-0.5410904051131205
1.8585858585858588,-2.9107588122242833,-0.4745931024615979
1.878787878787879,-2.843889412632046,-0.40764236761142936
1.8989898989898992,-2.7800224793681325,-0.34030162066589575
1.9191919191919193,-2.718960293597303,-0.2726347556660125
1.9393939393939394,-2.660522119029802,-0.20470612993615234
1.9595959595959598,-2.6045424173975436,-0.13658055389826007
1.97979797979798,-2.5508692842625553,-0.0683232813243988
2.0,-2.499370806929651,0.0
